Movie_Name,Certification,Release_Date,Genres,Language,Budget,Revenue,Runtime
Sing 2,PG,12/23/2021,"['Animation,', 'Adventure,', 'Comedy,', 'Family']",English,"$85,000,000.00","$406,000,000.00",110.0
Covet: Island of Desire,19+,05/04/2017,['Romance'],섬,Released,-,81.0
Orphan: First Kill,NC16,08/04/2022,"['Horror,', 'Thriller']",English,-,"$9,572,765.00",99.0
Orgasm Inc: The Story of OneTaste,R21,11/05/2022,['Documentary'],English,-,-,89.0
Emily the Criminal,R,09/01/2022,"['Crime,', 'Drama,', 'Thriller']",English,-,-,97.0
Avengers: Infinity War,PG13,04/26/2018,"['Adventure,', 'Action,', 'Science Fiction']",English,"$300,000,000.00","$2,046,239,637.00",149.0
Luck,PG,08/05/2022,"['Animation,', 'Adventure,', 'Comedy,', 'Fantasy']",English,-,-,105.0
Legions,,01/05/2023,"['Fantasy,', 'Horror,', 'Comedy']",Mandinga,Released,-,88.0
Fullmetal Alchemist: The Final Alchemy,PG13,09/24/2022,"['Action,', 'Adventure,', 'Fantasy']",最後の錬成,Released,-,143.0
Don't Open the Door,,11/30/2022,['Horror'],la,Status,-,114.0
Darby and the Dead,NC16,01/27/2023,"['Comedy,', 'Fantasy']",English,-,-,100.0
Retirement Home,U,02/16/2022,['Comedy'],retraite,Released,-,97.0
The Lair,18+,08/25/2022,"['Horror,', 'Action']",English,-,-,93.0
Doraemon: Nobita's Little Star Wars 2021,G,06/23/2022,"['Animation,', 'Science Fiction,', 'Adventure']",2021,Released,-,108.0
Diary of a Wimpy Kid: Rodrick Rules,PG,12/02/2022,"['Animation,', 'Comedy,', 'Family']",English,-,-,74.0
Shrek,PG,06/07/2001,"['Animation,', 'Comedy,', 'Fantasy,', 'Adventure,', 'Family']",English,"$60,000,000.00","$487,853,320.00",90.0
Legion of Super-Heroes,PG-13,02/07/2023,"['Animation,', 'Action,', 'Science Fiction']",English,-,-,84.0
Uncharted,PG,02/17/2022,"['Action,', 'Adventure']",English,"$120,000,000.00","$401,748,820.00",116.0
Desire,16,09/14/2011,"['Drama,', 'Romance']",Released,Language,-,103.0
Scrooge: A Christmas Carol,PG,12/02/2022,"['Animation,', 'Family,', 'Fantasy,', 'Drama']",English,-,-,97.0
Lesson Plan,NC16,11/23/2022,"['Crime,', 'Thriller']",Status,Original,-,101.0
Paradise Highway,R,08/01/2022,"['Thriller,', 'Crime,', 'Drama']",English,-,-,115.0
Hellraiser,R,09/28/2022,"['Horror,', 'Mystery']",English,"$14,000,000.00",-,121.0
Lost Bullet 2,NC16,11/10/2022,"['Action,', 'Drama,', 'Thriller']",2,Released,-,98.0
MexZombies,,10/26/2022,"['Horror,', 'Action,', 'Comedy']",Spanish;,Budget,-,93.0
The Infernal Machine,R,09/23/2022,"['Thriller,', 'Mystery']",English,-,-,107.0
The Quintessential Quintuplets Movie,PG,05/20/2022,"['Animation,', 'Comedy,', 'Romance']",Status,Original,"$17,288,993.00",136.0
On the Line,R,11/04/2022,['Thriller'],English,-,-,104.0
DC League of Super-Pets,PG,07/28/2022,"['Animation,', 'Action,', 'Family,', 'Comedy,', 'Science Fiction']",English,"$90,000,000.00","$203,000,000.00",105.0
Hotel Transylvania: Transformania,PG,01/14/2022,"['Animation,', 'Comedy,', 'Family,', 'Fantasy,', 'Adventure']",English,-,-,87.0
A Man Called Otto,NC16,03/23/2023,"['Comedy,', 'Drama']",English,"$50,000,000.00","$83,000,000.00",126.0
Lecciones para canallas,,09/01/2022,"['Comedy,', 'Crime']",Spanish;,Budget,-,104.0
Infiesto,NC16,02/03/2023,"['Thriller,', 'Crime,', 'Drama']",Spanish;,Budget,-,96.0
Harry Potter and the Goblet of Fire,12,11/17/2005,"['Adventure,', 'Fantasy,', 'Family']",English,"$150,000,000.00","$895,921,036.00",157.0
The Super Mario Bros. Movie,PG,04/06/2023,"['Animation,', 'Adventure,', 'Comedy,', 'Family,', 'Fantasy']",Language,Budget,-,
Tom and Jerry Snowman's Land,G,09/06/2022,"['Family,', 'Comedy,', 'Animation,', 'Adventure']",English,-,-,76.0
Titanic,NC16,04/05/2012,"['Drama,', 'Romance']",English,"$200,000,000.00","$2,187,463,944.00",194.0
Blue's Big City Adventure,,11/18/2022,"['Family,', 'Adventure,', 'Music,', 'Animation']",English,-,-,74.0
Boso Dos,,02/03/2023,"['Comedy,', 'Thriller']",English,-,-,
Maneater,R,08/26/2022,"['Thriller,', 'Horror']",English,-,-,86.0
Piggy,16,10/14/2022,"['Thriller,', 'Drama,', 'Horror']",Released,Language,"$380,512.00",100.0
True Spirit,PG,02/03/2023,"['Adventure,', 'Drama,', 'Family']",English,-,-,109.0
After Ever Happy,R,09/07/2022,"['Romance,', 'Drama']",English,-,"$12,467,270.00",95.0
Harry Potter and the Half-Blood Prince,12,07/07/2009,"['Adventure,', 'Fantasy']",English,"$250,000,000.00","$933,959,197.00",153.0
Shark Bait,15,06/06/2022,"['Horror,', 'Thriller,', 'Action,', 'Adventure']",English,-,-,87.0
Harry Potter and the Chamber of Secrets,PG,11/16/2002,"['Adventure,', 'Fantasy']",English,"$100,000,000.00","$876,688,482.00",161.0
Enola Holmes 2,PG13,11/04/2022,"['Mystery,', 'Adventure,', 'Comedy,', 'Crime']",English,-,-,129.0
X,R,05/24/2022,"['Horror,', 'Mystery,', 'Thriller']",English,"$10,000,000.00","$14,779,858.00",106.0
My Hero Academia: World Heroes' Mission,G,08/06/2021,"['Animation,', 'Action,', 'Adventure,', 'Science Fiction']",MOVIE,ヒーローズ,"$38,410,729.00",105.0
Athena,M18,09/23/2022,"['Drama,', 'Action,', 'Thriller']",French,-,-,97.0
The Menu,NC16,11/17/2022,"['Horror,', 'Thriller']",English,"$35,000,000.00","$76,849,419.00",107.0
Viking Wolf,M18,02/03/2023,"['Horror,', 'Thriller,', 'Mystery']",Released,Language,-,97.0
House Party,R,01/13/2023,['Comedy'],English,-,-,100.0
20th Century Girl,PG13,10/21/2022,"['Romance,', 'Drama']",Status,Original,-,119.0
The Black Phone,NC16,07/21/2022,"['Horror,', 'Thriller']",English,"$17,000,000.00","$161,000,000.00",103.0
Harry Potter and the Prisoner of Azkaban,PG,06/04/2004,"['Adventure,', 'Fantasy']",English,"$130,000,000.00","$789,804,554.00",141.0
Drifting Home,PG13,09/16/2022,"['Animation,', 'Drama,', 'Mystery,', 'Fantasy,', 'Family']",Released,Language,-,
The Soccer Football Movie,PG,11/09/2022,"['Animation,', 'Comedy,', 'Family']",English,-,-,74.0
Black Panther,PG-13,02/15/2018,"['Action,', 'Adventure,', 'Science Fiction']",English,"$200,000,000.00","$1,347,597,973.00",135.0
"Tad, the Lost Explorer and the Emerald Tablet",PG,08/25/2022,"['Animation,', 'Adventure,', 'Comedy,', 'Family,', 'Fantasy']",3:,Tabla,-,89.0
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,PG13,01/12/2023,"['Animation,', 'Fantasy,', 'Adventure']",紅蓮の絆編,Released,-,108.0
Fantastic Beasts: The Secrets of Dumbledore,PG13,04/14/2022,"['Fantasy,', 'Adventure,', 'Action']",English,"$200,000,000.00","$405,161,334.00",142.0
The Guardians of the Galaxy Holiday Special,PG13,11/25/2022,"['Comedy,', 'Science Fiction,', 'Adventure']",English,-,-,
Scream,M18,01/13/2022,"['Horror,', 'Mystery,', 'Thriller']",English,"$24,000,000.00","$140,041,405.00",114.0
Corrective Measures,16+,04/29/2022,"['Science Fiction,', 'Action']",English,-,-,106.0
Harry Potter and the Order of the Phoenix,12,07/03/2007,"['Adventure,', 'Fantasy,', 'Mystery']",English,"$150,000,000.00","$938,212,738.00",138.0
The Invitation,NC16,08/25/2022,"['Horror,', 'Thriller']",English,"$10,000,000.00","$33,628,000.00",105.0
Fifty Shades of Grey,R,02/13/2015,"['Drama,', 'Romance,', 'Thriller']",English,"$40,000,000.00","$571,006,128.00",125.0
